name,question_1,question_2,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20
hs11788,0,10,0,0,0,0,7,0,10,0,0,10,10,2,6,10,0,10,0
hs3113,0,6,0,0,0,1,7,0,10,0,0,10,10,7,8,10,0,10,0
hs11490,0,7,0,0,0,1,1,0,10,0,0,10,10,2,6,10,0,10,0
hs2336,0,8,0,0,0,0,7,10,10,0,0,10,2,0,7,10,0,10,0
hs9277,0,5,0,0,0,0,7,0,10,0,0,10,10,6,7,10,0,10,0
hs18845,0,0,0,0,0,1,7,0,10,0,0,10,10,10,10,10,0,10,0
hs5103,0,7,0,0,0,0,7,0,10,0,0,10,10,0,2,10,0,10,0
hs15163,0,3,10,0,0,2,1,0,10,0,0,10,10,2,3,10,0,10,0
hs7937,0,7,0,0,0,0,7,0,10,0,0,10,10,2,7,10,0,10,0
hs3210,0,7,0,0,0,0,7,10,10,0,0,10,3,4,7,10,0,10,0
hs3131,0,9,0,0,0,2,1,0,10,0,0,10,10,10,10,10,0,10,0
hs10678,0,6,0,0,0,0,7,10,10,0,0,10,4,2,3,10,0,10,0
hs791,0,8,0,0,0,0,7,0,10,0,0,10,10,5,7,10,0,10,0
hs3673,0,7,0,0,0,0,7,10,10,0,0,10,3,0,5,10,0,10,0
hs18255,0,6,0,0,0,0,7,10,10,0,0,10,4,4,7,10,0,10,0
hs12366,0,6,0,0,0,3,1,0,10,0,0,10,10,2,6,10,0,10,0
hs15756,0,9,0,0,0,0,9,10,10,10,0,10,1,2,3,10,10,10,0
hs2997,0,5,0,0,0,0,7,0,10,0,0,10,10,3,5,10,0,10,0
hs2456,0,9,0,0,0,0,7,10,10,0,0,10,1,6,7,10,0,10,0
hs7729,0,0,0,0,0,0,1,0,10,0,0,10,10,3,7,10,0,10,0
hs4208,0,8,0,0,0,0,7,0,10,0,0,10,10,1,7,10,0,10,0
hs16381,0,8,0,0,0,2,7,0,10,0,0,10,10,7,7,10,0,10,0
hs3096,0,0,0,0,0,4,1,10,10,0,0,10,10,10,10,10,0,0,10
hs6693,0,8,0,0,0,0,7,10,10,0,0,10,2,0,3,10,0,10,0
hs4630,0,9,0,0,0,0,7,0,10,0,0,10,10,5,5,10,0,10,0
hs11843,0,2,0,0,0,6,1,0,10,0,0,10,10,2,2,10,0,10,0
hs14028,1,7,0,0,0,3,1,0,10,0,0,10,10,10,10,10,0,10,0
hs14212,0,0,0,0,0,3,1,0,10,0,0,10,10,2,3,10,0,10,0
hs1731,0,9,0,0,0,0,7,10,10,0,0,10,1,6,7,10,0,10,0
hs4673,0,2,0,0,0,0,7,10,10,0,0,10,8,8,8,10,0,10,0
hs2854,0,8,0,0,0,0,1,10,10,0,0,10,2,10,10,10,0,10,10
hs14508,0,5,0,0,0,0,7,10,10,0,0,10,5,7,7,10,0,10,0
hs21807,0,0,0,0,0,2,7,0,10,0,0,10,10,10,10,10,0,10,0
hs8368,0,8,0,0,0,2,1,0,10,0,0,10,10,2,5,10,0,10,0
hs3908,0,0,0,0,0,0,7,10,10,0,0,10,10,6,7,10,0,10,0
hs2894,0,9,0,0,0,0,7,0,10,0,0,10,10,6,7,10,0,10,0
hs17414,0,6,0,0,0,0,1,0,10,0,0,10,10,10,10,10,0,10,0
hs14911,0,10,0,0,0,0,7,0,10,0,0,10,10,2,3,10,0,10,0
hs4307,0,0,0,0,0,3,1,0,10,0,0,10,10,10,10,10,0,10,0
hs10055,0,1,0,0,0,2,1,10,10,0,0,10,9,10,10,10,0,10,10
hs17256,0,2,0,0,0,6,1,0,10,0,0,10,10,10,10,10,0,10,0
hs17700,0,5,0,0,0,4,1,0,10,0,0,10,10,10,10,10,0,10,0
hs17836,0,0,0,0,0,6,1,0,10,0,0,10,10,10,10,10,0,10,0
hs2501,1,8,0,0,0,3,1,0,10,0,0,10,10,0,5,10,0,10,0
hs1788,0,10,0,0,0,2,1,0,10,0,0,10,10,10,10,10,0,10,0
hs10845,0,6,0,0,0,1,7,10,10,0,0,10,4,5,7,10,0,10,0
hs7182,0,0,0,0,0,5,1,0,10,0,0,10,10,4,5,10,0,10,0
hs3893,0,0,0,0,0,6,1,0,10,0,0,10,10,0,3,10,0,10,0
hs7463,0,6,0,0,0,0,7,10,10,0,0,10,4,6,7,10,0,10,0
hs13400,0,7,0,0,0,0,7,10,10,0,0,10,3,2,7,10,0,10,0
